Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Total Households,Total Owner Occupied,% Owner Occupied
77578,18636.0,34.7,99082.0,37045.0,4.324962438291479,18568.0,17042.0,91.78155967255493
77580,534.0,32.9,-666666666.0,32927.0,0.0,534.0,534.0,100.0
77581,47625.0,35.6,89931.0,36394.0,6.061942257217848,47484.0,37649.0,79.28776008760846
77583,35308.0,35.1,67241.0,18620.0,12.042596578679053,29278.0,24626.0,84.11093653938111
77584,87121.0,34.4,106162.0,43226.0,5.288047657855167,86784.0,69232.0,79.77507374631269
77585,880.0,43.6,40508.0,13486.0,14.204545454545455,880.0,723.0,82.1590909090909
77586,22182.0,40.4,90612.0,48308.0,7.312235145613561,22045.0,15645.0,70.96847357677478
77587,16901.0,28.6,44371.0,15765.0,24.90385184308621,16892.0,9890.0,58.54842529007814
77590,31084.0,38.8,41697.0,22779.0,24.3565821644576,30864.0,18495.0,59.9241835147745
77591,14073.0,36.1,43487.0,26635.0,16.10886093938748,13770.0,7648.0,55.54103122730574
77597,1210.0,31.6,43009.0,19880.0,31.40495867768595,1210.0,921.0,76.11570247933884
77598,24689.0,30.2,52167.0,27235.0,13.94548179351128,24427.0,5072.0,20.76390878945429
77611,8325.0,35.5,69897.0,29859.0,8.444444444444445,8325.0,6952.0,83.50750750750751
77612,9134.0,41.4,49479.0,21609.0,8.36435296693672,9099.0,7619.0,83.73447631607868
77613,1048.0,48.0,53875.0,33152.0,4.675572519083969,1045.0,796.0,76.17224880382774
77614,516.0,48.4,-666666666.0,21103.0,9.496124031007753,516.0,271.0,52.51937984496124
77615,1049.0,36.2,59474.0,24577.0,1.2392755004766445,1049.0,895.0,85.31935176358436
77616,535.0,56.5,39574.0,31688.0,13.08411214953271,535.0,529.0,98.8785046728972
77617,64.0,60.1,-666666666.0,45905.0,14.0625,64.0,64.0,100.0
77619,15775.0,37.5,52992.0,26149.0,12.42472266244057,15579.0,11183.0,71.78252776173053
77622,1464.0,35.6,83875.0,28924.0,13.729508196721312,1464.0,1316.0,89.89071038251366
77623,515.0,53.2,49868.0,26275.0,15.339805825242719,515.0,397.0,77.08737864077669
